epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.944,1.57573,9.74396,1.47712,0.00272,0.31731,0.01076,0.00594,1.10582,6.91367,1.14719,0.0680787,0.000486111,0.000486111
2,13.2826,1.57219,8.31099,1.5253,0.55216,0.52564,0.44616,0.33612,1.22325,17.5465,1.1389,0.0352453,0.000986004,0.000986004
3,17.8329,1.68064,10.1278,1.51423,0.64388,0.56807,0.59006,0.41614,1.3468,11.0692,1.13076,0.00241139,0.00148547,0.00148547
4,22.5034,2.18869,6.09239,1.98354,0.0007,0.23333,0.00051,0.00016,2.09547,83.1709,2.23333,0.00149853,0.00149853,0.00149853
5,27.2371,2.01204,5.93155,1.89897,0.01214,0.2,0.0084,0.00113,2.89327,110.286,4.90758,0.0014974,0.0014974,0.0014974
6,31.9145,1.77402,4.60556,1.69127,0.0617,0.12821,0.03426,0.01776,2.62494,202.558,5.39482,0.00149593,0.00149593,0.00149593
7,36.5605,1.9387,4.61775,1.70617,0.00074,0.01282,0.00041,0.0002,4.0294,inf,9.45674,0.00149415,0.00149415,0.00149415
8,40.8977,2.01208,4.02937,1.8548,0.02837,0.28205,0.01591,0.0085,2.46295,13.2783,5.6328,0.00149203,0.00149203,0.00149203
9,45.2192,1.94657,4.01392,1.86257,0.49006,0.12821,0.09336,0.03834,1.94159,5.19578,2.3613,0.0014896,0.0014896,0.0014896
10,49.5409,1.7997,3.24527,1.80274,0.17174,0.26603,0.16937,0.09901,1.43363,4.09598,1.57657,0.00148685,0.00148685,0.00148685
11,53.8136,1.62577,2.7606,1.66183,0.3792,0.47436,0.25562,0.17621,1.21751,4.09439,1.50717,0.00148377,0.00148377,0.00148377
12,58.12,1.52736,2.62937,1.57871,0.70652,0.47436,0.36542,0.18588,1.2662,3.27265,1.37045,0.00148038,0.00148038,0.00148038
13,62.5101,1.52796,2.51357,1.62183,0.33429,0.62057,0.6065,0.29841,1.27115,3.51143,1.46446,0.00147667,0.00147667,0.00147667
14,66.7794,1.43293,2.10304,1.57444,0.96584,0.43269,0.63672,0.44017,1.3551,1.89061,1.52984,0.00147265,0.00147265,0.00147265
15,71.0879,1.4737,2.10234,1.60356,0.95173,0.47496,0.67642,0.42281,1.26466,1.80245,1.37766,0.00146831,0.00146831,0.00146831
16,75.4291,1.4789,2.02378,1.58619,0.61475,0.68718,0.7581,0.47761,1.31773,1.75549,1.4529,0.00146366,0.00146366,0.00146366
17,79.8725,1.4372,1.95871,1.58259,0.88867,0.54804,0.76037,0.50047,1.20064,1.54366,1.36238,0.0014587,0.0014587,0.0014587
18,84.2953,1.28624,1.74528,1.4952,0.98797,0.47436,0.72198,0.49983,1.15291,1.53157,1.32416,0.00145343,0.00145343,0.00145343
19,88.7716,1.41909,1.74206,1.58268,0.89586,0.67195,0.76755,0.53892,1.15867,1.16548,1.39127,0.00144786,0.00144786,0.00144786
20,93.3432,1.22662,1.70996,1.38622,0.92247,0.55244,0.69937,0.48176,1.07529,1.56927,1.27683,0.00144198,0.00144198,0.00144198
21,98.0246,1.13179,1.6252,1.25716,0.94645,0.46057,0.73832,0.48676,0.95121,1.35489,1.16679,0.00143581,0.00143581,0.00143581
22,102.522,1.2569,1.68733,1.42178,0.92194,0.61299,0.79127,0.49506,1.05915,1.25259,1.26639,0.00142933,0.00142933,0.00142933
23,106.861,1.27204,1.60752,1.41372,0.81509,0.71979,0.74108,0.50817,1.16423,1.07907,1.44269,0.00142257,0.00142257,0.00142257
24,111.193,1.39863,1.52107,1.45951,0.81056,0.72355,0.73691,0.50863,1.27178,1.15547,1.56287,0.00141551,0.00141551,0.00141551
25,115.555,1.39662,1.69904,1.54043,0.65282,0.64641,0.69756,0.46892,1.08841,1.41047,1.28009,0.00140816,0.00140816,0.00140816
26,119.9,1.28744,1.69155,1.40947,0.87372,0.55897,0.75214,0.52248,1.01003,1.16888,1.20019,0.00140052,0.00140052,0.00140052
27,124.227,1.14202,1.40604,1.2945,0.94591,0.53965,0.74401,0.56538,1.03516,1.09411,1.20547,0.00139261,0.00139261,0.00139261
28,128.585,1.20014,1.52392,1.35024,0.9629,0.72854,0.78732,0.60841,1.00964,0.97255,1.23969,0.00138441,0.00138441,0.00138441
29,133.065,1.22257,1.4783,1.39521,0.97282,0.73171,0.77312,0.58998,0.96011,0.87723,1.19816,0.00137594,0.00137594,0.00137594
30,137.39,1.12607,1.37529,1.2602,0.80198,0.76667,0.76959,0.60843,1.00641,0.91037,1.24212,0.0013672,0.0013672,0.0013672
31,141.755,1.15778,1.63051,1.34916,0.8707,0.8,0.81875,0.61227,1.10405,0.87413,1.29034,0.0013582,0.0013582,0.0013582
32,146.123,1.318,1.73681,1.39569,0.79148,0.76667,0.77241,0.56615,1.2093,1.10108,1.34245,0.00134892,0.00134892,0.00134892
33,150.485,1.2889,1.52935,1.40802,0.60279,0.68998,0.63006,0.47158,1.233,3.47199,1.38658,0.00133939,0.00133939,0.00133939
34,154.914,1.2383,1.4193,1.3792,0.58796,0.75385,0.66715,0.52568,1.10021,7.88606,1.28425,0.00132961,0.00132961,0.00132961
35,159.26,1.20814,1.34997,1.31206,0.75638,0.76667,0.73349,0.58443,1.04611,1.78052,1.24563,0.00131957,0.00131957,0.00131957
